1 134217728 bytes (134 MB, 128 MiB) copied, 7.18624 s, 18.7 MB/s
2 134217728 bytes (134 MB, 128 MiB) copied, 7.15126 s, 18.8 MB/s
3 134217728 bytes (134 MB, 128 MiB) copied, 4.37356 s, 30.7 MB/s
4 134217728 bytes (134 MB, 128 MiB) copied, 4.77306 s, 28.1 MB/s
5 134217728 bytes (134 MB, 128 MiB) copied, 4.46733 s, 30.0 MB/s
6 134217728 bytes (134 MB, 128 MiB) copied, 3.75399 s, 35.8 MB/s
7 134217728 bytes (134 MB, 128 MiB) copied, 3.82324 s, 35.1 MB/s
8 134217728 bytes (134 MB, 128 MiB) copied, 5.05869 s, 26.5 MB/s
9 134217728 bytes (134 MB, 128 MiB) copied, 5.80359 s, 23.1 MB/s
10 134217728 bytes (134 MB, 128 MiB) copied, 6.43027 s, 20.9 MB/s
11 134217728 bytes (134 MB, 128 MiB) copied, 3.59505 s, 37.3 MB/s
12 134217728 bytes (134 MB, 128 MiB) copied, 4.23219 s, 31.7 MB/s
13 134217728 bytes (134 MB, 128 MiB) copied, 5.16183 s, 26.0 MB/s
14 134217728 bytes (134 MB, 128 MiB) copied, 4.59424 s, 29.2 MB/s
15 134217728 bytes (134 MB, 128 MiB) copied, 4.6362 s, 28.9 MB/s
16 134217728 bytes (134 MB, 128 MiB) copied, 4.40964 s, 30.4 MB/s
17 134217728 bytes (134 MB, 128 MiB) copied, 3.85278 s, 34.8 MB/s
18 134217728 bytes (134 MB, 128 MiB) copied, 3.51861 s, 38.1 MB/s
19 134217728 bytes (134 MB, 128 MiB) copied, 3.63206 s, 37.0 MB/s
20 134217728 bytes (134 MB, 128 MiB) copied, 3.60115 s, 37.3 MB/s
21 134217728 bytes (134 MB, 128 MiB) copied, 3.81935 s, 35.1 MB/s
22 134217728 bytes (134 MB, 128 MiB) copied, 4.90276 s, 27.4 MB/s
23 134217728 bytes (134 MB, 128 MiB) copied, 5.62819 s, 23.8 MB/s
24 134217728 bytes (134 MB, 128 MiB) copied, 4.67269 s, 28.7 MB/s
25 134217728 bytes (134 MB, 128 MiB) copied, 4.08097 s, 32.9 MB/s
26 134217728 bytes (134 MB, 128 MiB) copied, 3.96446 s, 33.9 MB/s
27 134217728 bytes (134 MB, 128 MiB) copied, 4.50539 s, 29.8 MB/s
28 134217728 bytes (134 MB, 128 MiB) copied, 3.62172 s, 37.1 MB/s
29 134217728 bytes (134 MB, 128 MiB) copied, 3.73218 s, 36.0 MB/s
30 134217728 bytes (134 MB, 128 MiB) copied, 4.1996 s, 32.0 MB/s
31 134217728 bytes (134 MB, 128 MiB) copied, 3.77925 s, 35.5 MB/s
32 134217728 bytes (134 MB, 128 MiB) copied, 3.63063 s, 37.0 MB/s
33 134217728 bytes (134 MB, 128 MiB) copied, 3.81158 s, 35.2 MB/s
34 134217728 bytes (134 MB, 128 MiB) copied, 3.77684 s, 35.5 MB/s
35 134217728 bytes (134 MB, 128 MiB) copied, 3.55521 s, 37.8 MB/s
36 134217728 bytes (134 MB, 128 MiB) copied, 3.70273 s, 36.2 MB/s
37 134217728 bytes (134 MB, 128 MiB) copied, 3.63418 s, 36.9 MB/s
38 134217728 bytes (134 MB, 128 MiB) copied, 3.66936 s, 36.6 MB/s
39 134217728 bytes (134 MB, 128 MiB) copied, 3.48617 s, 38.5 MB/s
40 134217728 bytes (134 MB, 128 MiB) copied, 3.60338 s, 37.2 MB/s
41 134217728 bytes (134 MB, 128 MiB) copied, 3.48349 s, 38.5 MB/s
42 134217728 bytes (134 MB, 128 MiB) copied, 3.60642 s, 37.2 MB/s
43 134217728 bytes (134 MB, 128 MiB) copied, 3.47004 s, 38.7 MB/s
44 134217728 bytes (134 MB, 128 MiB) copied, 3.56458 s, 37.7 MB/s
45 134217728 bytes (134 MB, 128 MiB) copied, 3.5103 s, 38.2 MB/s
46 134217728 bytes (134 MB, 128 MiB) copied, 3.63961 s, 36.9 MB/s
47 134217728 bytes (134 MB, 128 MiB) copied, 3.55496 s, 37.8 MB/s
48 134217728 bytes (134 MB, 128 MiB) copied, 3.62844 s, 37.0 MB/s
49 134217728 bytes (134 MB, 128 MiB) copied, 3.47148 s, 38.7 MB/s
50 134217728 bytes (134 MB, 128 MiB) copied, 3.56445 s, 37.7 MB/s
51 134217728 bytes (134 MB, 128 MiB) copied, 3.57587 s, 37.5 MB/s
52 134217728 bytes (134 MB, 128 MiB) copied, 3.58214 s, 37.5 MB/s
53 134217728 bytes (134 MB, 128 MiB) copied, 3.58032 s, 37.5 MB/s
54 134217728 bytes (134 MB, 128 MiB) copied, 3.49173 s, 38.4 MB/s
55 134217728 bytes (134 MB, 128 MiB) copied, 4.13444 s, 32.5 MB/s
56 134217728 bytes (134 MB, 128 MiB) copied, 3.52739 s, 38.1 MB/s
57 134217728 bytes (134 MB, 128 MiB) copied, 4.13385 s, 32.5 MB/s
58 134217728 bytes (134 MB, 128 MiB) copied, 3.4983 s, 38.4 MB/s
59 134217728 bytes (134 MB, 128 MiB) copied, 3.97126 s, 33.8 MB/s
60 134217728 bytes (134 MB, 128 MiB) copied, 3.46742 s, 38.7 MB/s
61 134217728 bytes (134 MB, 128 MiB) copied, 3.71356 s, 36.1 MB/s
62 134217728 bytes (134 MB, 128 MiB) copied, 3.75679 s, 35.7 MB/s
63 134217728 bytes (134 MB, 128 MiB) copied, 3.56805 s, 37.6 MB/s
64 134217728 bytes (134 MB, 128 MiB) copied, 3.66248 s, 36.6 MB/s
65 134217728 bytes (134 MB, 128 MiB) copied, 3.61504 s, 37.1 MB/s
66 134217728 bytes (134 MB, 128 MiB) copied, 3.60097 s, 37.3 MB/s
67 134217728 bytes (134 MB, 128 MiB) copied, 3.4646 s, 38.7 MB/s
68 134217728 bytes (134 MB, 128 MiB) copied, 3.5673 s, 37.6 MB/s
69 134217728 bytes (134 MB, 128 MiB) copied, 3.50637 s, 38.3 MB/s
70 134217728 bytes (134 MB, 128 MiB) copied, 3.62721 s, 37.0 MB/s
71 134217728 bytes (134 MB, 128 MiB) copied, 3.47385 s, 38.6 MB/s
72 134217728 bytes (134 MB, 128 MiB) copied, 3.60854 s, 37.2 MB/s
73 134217728 bytes (134 MB, 128 MiB) copied, 3.58568 s, 37.4 MB/s
74 134217728 bytes (134 MB, 128 MiB) copied, 3.47283 s, 38.6 MB/s
75 134217728 bytes (134 MB, 128 MiB) copied, 3.6377 s, 36.9 MB/s
76 134217728 bytes (134 MB, 128 MiB) copied, 3.53407 s, 38.0 MB/s
77 134217728 bytes (134 MB, 128 MiB) copied, 3.58423 s, 37.4 MB/s
78 134217728 bytes (134 MB, 128 MiB) copied, 3.51907 s, 38.1 MB/s
79 134217728 bytes (134 MB, 128 MiB) copied, 3.56486 s, 37.7 MB/s
80 134217728 bytes (134 MB, 128 MiB) copied, 3.64917 s, 36.8 MB/s
81 134217728 bytes (134 MB, 128 MiB) copied, 3.59377 s, 37.3 MB/s
82 134217728 bytes (134 MB, 128 MiB) copied, 3.49494 s, 38.4 MB/s
83 134217728 bytes (134 MB, 128 MiB) copied, 3.59016 s, 37.4 MB/s
84 134217728 bytes (134 MB, 128 MiB) copied, 3.46767 s, 38.7 MB/s
85 134217728 bytes (134 MB, 128 MiB) copied, 3.57012 s, 37.6 MB/s
86 134217728 bytes (134 MB, 128 MiB) copied, 3.47538 s, 38.6 MB/s
87 134217728 bytes (134 MB, 128 MiB) copied, 3.62036 s, 37.1 MB/s
88 134217728 bytes (134 MB, 128 MiB) copied, 3.48816 s, 38.5 MB/s
89 134217728 bytes (134 MB, 128 MiB) copied, 3.57458 s, 37.5 MB/s
90 134217728 bytes (134 MB, 128 MiB) copied, 3.49209 s, 38.4 MB/s
91 134217728 bytes (134 MB, 128 MiB) copied, 3.59909 s, 37.3 MB/s
92 134217728 bytes (134 MB, 128 MiB) copied, 3.49582 s, 38.4 MB/s
93 134217728 bytes (134 MB, 128 MiB) copied, 3.83576 s, 35.0 MB/s
94 134217728 bytes (134 MB, 128 MiB) copied, 3.47718 s, 38.6 MB/s
95 134217728 bytes (134 MB, 128 MiB) copied, 4.48923 s, 29.9 MB/s
96 134217728 bytes (134 MB, 128 MiB) copied, 3.49737 s, 38.4 MB/s
97 134217728 bytes (134 MB, 128 MiB) copied, 3.62874 s, 37.0 MB/s
98 134217728 bytes (134 MB, 128 MiB) copied, 3.5497 s, 37.8 MB/s
99 134217728 bytes (134 MB, 128 MiB) copied, 3.56034 s, 37.7 MB/s
100 134217728 bytes (134 MB, 128 MiB) copied, 3.59858 s, 37.3 MB/s
