1 134217728 bytes (134 MB, 128 MiB) copied, 4.6058 s, 29.1 MB/s
2 134217728 bytes (134 MB, 128 MiB) copied, 6.31315 s, 21.3 MB/s
3 134217728 bytes (134 MB, 128 MiB) copied, 4.80157 s, 28.0 MB/s
4 134217728 bytes (134 MB, 128 MiB) copied, 5.34309 s, 25.1 MB/s
5 134217728 bytes (134 MB, 128 MiB) copied, 4.67967 s, 28.7 MB/s
6 134217728 bytes (134 MB, 128 MiB) copied, 5.43355 s, 24.7 MB/s
7 134217728 bytes (134 MB, 128 MiB) copied, 5.63379 s, 23.8 MB/s
8 134217728 bytes (134 MB, 128 MiB) copied, 4.70851 s, 28.5 MB/s
9 134217728 bytes (134 MB, 128 MiB) copied, 5.86085 s, 22.9 MB/s
10 134217728 bytes (134 MB, 128 MiB) copied, 6.37391 s, 21.1 MB/s
11 134217728 bytes (134 MB, 128 MiB) copied, 4.91869 s, 27.3 MB/s
12 134217728 bytes (134 MB, 128 MiB) copied, 5.82581 s, 23.0 MB/s
13 134217728 bytes (134 MB, 128 MiB) copied, 4.36272 s, 30.8 MB/s
14 134217728 bytes (134 MB, 128 MiB) copied, 5.36663 s, 25.0 MB/s
15 134217728 bytes (134 MB, 128 MiB) copied, 4.81576 s, 27.9 MB/s
16 134217728 bytes (134 MB, 128 MiB) copied, 5.76029 s, 23.3 MB/s
17 134217728 bytes (134 MB, 128 MiB) copied, 5.68901 s, 23.6 MB/s
18 134217728 bytes (134 MB, 128 MiB) copied, 4.40617 s, 30.5 MB/s
19 134217728 bytes (134 MB, 128 MiB) copied, 5.74311 s, 23.4 MB/s
20 134217728 bytes (134 MB, 128 MiB) copied, 5.11192 s, 26.3 MB/s
21 134217728 bytes (134 MB, 128 MiB) copied, 4.2592 s, 31.5 MB/s
22 134217728 bytes (134 MB, 128 MiB) copied, 4.80097 s, 28.0 MB/s
23 134217728 bytes (134 MB, 128 MiB) copied, 5.21628 s, 25.7 MB/s
24 134217728 bytes (134 MB, 128 MiB) copied, 5.69739 s, 23.6 MB/s
25 134217728 bytes (134 MB, 128 MiB) copied, 5.35538 s, 25.1 MB/s
26 134217728 bytes (134 MB, 128 MiB) copied, 5.0952 s, 26.3 MB/s
27 134217728 bytes (134 MB, 128 MiB) copied, 5.13575 s, 26.1 MB/s
28 134217728 bytes (134 MB, 128 MiB) copied, 4.94351 s, 27.2 MB/s
29 134217728 bytes (134 MB, 128 MiB) copied, 4.98783 s, 26.9 MB/s
30 134217728 bytes (134 MB, 128 MiB) copied, 5.82077 s, 23.1 MB/s
31 134217728 bytes (134 MB, 128 MiB) copied, 5.07797 s, 26.4 MB/s
32 134217728 bytes (134 MB, 128 MiB) copied, 5.29871 s, 25.3 MB/s
33 134217728 bytes (134 MB, 128 MiB) copied, 5.12364 s, 26.2 MB/s
34 134217728 bytes (134 MB, 128 MiB) copied, 5.67374 s, 23.7 MB/s
35 134217728 bytes (134 MB, 128 MiB) copied, 5.2372 s, 25.6 MB/s
36 134217728 bytes (134 MB, 128 MiB) copied, 3.94072 s, 34.1 MB/s
37 134217728 bytes (134 MB, 128 MiB) copied, 5.0836 s, 26.4 MB/s
38 134217728 bytes (134 MB, 128 MiB) copied, 4.86855 s, 27.6 MB/s
39 134217728 bytes (134 MB, 128 MiB) copied, 5.07903 s, 26.4 MB/s
40 134217728 bytes (134 MB, 128 MiB) copied, 4.20869 s, 31.9 MB/s
41 134217728 bytes (134 MB, 128 MiB) copied, 5.33132 s, 25.2 MB/s
42 134217728 bytes (134 MB, 128 MiB) copied, 5.45687 s, 24.6 MB/s
43 134217728 bytes (134 MB, 128 MiB) copied, 4.43544 s, 30.3 MB/s
44 134217728 bytes (134 MB, 128 MiB) copied, 6.19054 s, 21.7 MB/s
45 134217728 bytes (134 MB, 128 MiB) copied, 4.87528 s, 27.5 MB/s
46 134217728 bytes (134 MB, 128 MiB) copied, 4.49565 s, 29.9 MB/s
47 134217728 bytes (134 MB, 128 MiB) copied, 5.15874 s, 26.0 MB/s
48 134217728 bytes (134 MB, 128 MiB) copied, 4.94739 s, 27.1 MB/s
49 134217728 bytes (134 MB, 128 MiB) copied, 5.42458 s, 24.7 MB/s
50 134217728 bytes (134 MB, 128 MiB) copied, 4.30962 s, 31.1 MB/s
51 134217728 bytes (134 MB, 128 MiB) copied, 4.79257 s, 28.0 MB/s
52 134217728 bytes (134 MB, 128 MiB) copied, 5.22078 s, 25.7 MB/s
53 134217728 bytes (134 MB, 128 MiB) copied, 5.45719 s, 24.6 MB/s
54 134217728 bytes (134 MB, 128 MiB) copied, 4.63833 s, 28.9 MB/s
55 134217728 bytes (134 MB, 128 MiB) copied, 5.05767 s, 26.5 MB/s
56 134217728 bytes (134 MB, 128 MiB) copied, 5.14395 s, 26.1 MB/s
57 134217728 bytes (134 MB, 128 MiB) copied, 4.03329 s, 33.3 MB/s
58 134217728 bytes (134 MB, 128 MiB) copied, 5.61987 s, 23.9 MB/s
59 134217728 bytes (134 MB, 128 MiB) copied, 4.69947 s, 28.6 MB/s
60 134217728 bytes (134 MB, 128 MiB) copied, 5.26541 s, 25.5 MB/s
61 134217728 bytes (134 MB, 128 MiB) copied, 4.3314 s, 31.0 MB/s
62 134217728 bytes (134 MB, 128 MiB) copied, 5.05697 s, 26.5 MB/s
63 134217728 bytes (134 MB, 128 MiB) copied, 4.7635 s, 28.2 MB/s
64 134217728 bytes (134 MB, 128 MiB) copied, 5.22164 s, 25.7 MB/s
65 134217728 bytes (134 MB, 128 MiB) copied, 4.22116 s, 31.8 MB/s
66 134217728 bytes (134 MB, 128 MiB) copied, 3.94104 s, 34.1 MB/s
67 134217728 bytes (134 MB, 128 MiB) copied, 5.2708 s, 25.5 MB/s
68 134217728 bytes (134 MB, 128 MiB) copied, 4.33687 s, 30.9 MB/s
69 134217728 bytes (134 MB, 128 MiB) copied, 4.59648 s, 29.2 MB/s
70 134217728 bytes (134 MB, 128 MiB) copied, 5.32159 s, 25.2 MB/s
71 134217728 bytes (134 MB, 128 MiB) copied, 5.03586 s, 26.7 MB/s
72 134217728 bytes (134 MB, 128 MiB) copied, 5.40973 s, 24.8 MB/s
73 134217728 bytes (134 MB, 128 MiB) copied, 4.50048 s, 29.8 MB/s
74 134217728 bytes (134 MB, 128 MiB) copied, 5.07847 s, 26.4 MB/s
75 134217728 bytes (134 MB, 128 MiB) copied, 5.63422 s, 23.8 MB/s
76 134217728 bytes (134 MB, 128 MiB) copied, 5.50758 s, 24.4 MB/s
77 134217728 bytes (134 MB, 128 MiB) copied, 4.50007 s, 29.8 MB/s
78 134217728 bytes (134 MB, 128 MiB) copied, 4.309 s, 31.1 MB/s
79 134217728 bytes (134 MB, 128 MiB) copied, 5.03438 s, 26.7 MB/s
80 134217728 bytes (134 MB, 128 MiB) copied, 4.03504 s, 33.3 MB/s
81 134217728 bytes (134 MB, 128 MiB) copied, 3.91773 s, 34.3 MB/s
82 134217728 bytes (134 MB, 128 MiB) copied, 3.91377 s, 34.3 MB/s
83 134217728 bytes (134 MB, 128 MiB) copied, 3.96311 s, 33.9 MB/s
84 134217728 bytes (134 MB, 128 MiB) copied, 4.96857 s, 27.0 MB/s
85 134217728 bytes (134 MB, 128 MiB) copied, 3.94583 s, 34.0 MB/s
86 134217728 bytes (134 MB, 128 MiB) copied, 3.89661 s, 34.4 MB/s
87 134217728 bytes (134 MB, 128 MiB) copied, 3.90177 s, 34.4 MB/s
88 134217728 bytes (134 MB, 128 MiB) copied, 4.01706 s, 33.4 MB/s
89 134217728 bytes (134 MB, 128 MiB) copied, 3.91185 s, 34.3 MB/s
90 134217728 bytes (134 MB, 128 MiB) copied, 3.95156 s, 34.0 MB/s
91 134217728 bytes (134 MB, 128 MiB) copied, 3.94045 s, 34.1 MB/s
92 134217728 bytes (134 MB, 128 MiB) copied, 3.91718 s, 34.3 MB/s
93 134217728 bytes (134 MB, 128 MiB) copied, 3.96303 s, 33.9 MB/s
94 134217728 bytes (134 MB, 128 MiB) copied, 4.72548 s, 28.4 MB/s
95 134217728 bytes (134 MB, 128 MiB) copied, 4.54559 s, 29.5 MB/s
96 134217728 bytes (134 MB, 128 MiB) copied, 3.95736 s, 33.9 MB/s
97 134217728 bytes (134 MB, 128 MiB) copied, 3.89708 s, 34.4 MB/s
