1 134217728 bytes (134 MB, 128 MiB) copied, 22.1141 s, 6.1 MB/s
2 134217728 bytes (134 MB, 128 MiB) copied, 7.0954 s, 18.9 MB/s
3 134217728 bytes (134 MB, 128 MiB) copied, 7.09849 s, 18.9 MB/s
4 134217728 bytes (134 MB, 128 MiB) copied, 7.16743 s, 18.7 MB/s
5 134217728 bytes (134 MB, 128 MiB) copied, 7.11895 s, 18.9 MB/s
6 134217728 bytes (134 MB, 128 MiB) copied, 7.11693 s, 18.9 MB/s
7 134217728 bytes (134 MB, 128 MiB) copied, 7.13272 s, 18.8 MB/s
8 134217728 bytes (134 MB, 128 MiB) copied, 7.10278 s, 18.9 MB/s
9 134217728 bytes (134 MB, 128 MiB) copied, 7.13924 s, 18.8 MB/s
10 134217728 bytes (134 MB, 128 MiB) copied, 7.12943 s, 18.8 MB/s
11 134217728 bytes (134 MB, 128 MiB) copied, 7.16141 s, 18.7 MB/s
12 134217728 bytes (134 MB, 128 MiB) copied, 7.13233 s, 18.8 MB/s
13 134217728 bytes (134 MB, 128 MiB) copied, 7.13168 s, 18.8 MB/s
14 134217728 bytes (134 MB, 128 MiB) copied, 7.13187 s, 18.8 MB/s
15 134217728 bytes (134 MB, 128 MiB) copied, 7.14974 s, 18.8 MB/s
16 134217728 bytes (134 MB, 128 MiB) copied, 7.23231 s, 18.6 MB/s
17 134217728 bytes (134 MB, 128 MiB) copied, 7.16142 s, 18.7 MB/s
18 134217728 bytes (134 MB, 128 MiB) copied, 7.16051 s, 18.7 MB/s
19 134217728 bytes (134 MB, 128 MiB) copied, 7.22037 s, 18.6 MB/s
20 134217728 bytes (134 MB, 128 MiB) copied, 7.21404 s, 18.6 MB/s
21 134217728 bytes (134 MB, 128 MiB) copied, 7.21008 s, 18.6 MB/s
22 134217728 bytes (134 MB, 128 MiB) copied, 7.25011 s, 18.5 MB/s
23 134217728 bytes (134 MB, 128 MiB) copied, 7.27565 s, 18.4 MB/s
24 134217728 bytes (134 MB, 128 MiB) copied, 7.22878 s, 18.6 MB/s
25 134217728 bytes (134 MB, 128 MiB) copied, 7.24396 s, 18.5 MB/s
26 134217728 bytes (134 MB, 128 MiB) copied, 7.25139 s, 18.5 MB/s
27 134217728 bytes (134 MB, 128 MiB) copied, 7.2511 s, 18.5 MB/s
28 134217728 bytes (134 MB, 128 MiB) copied, 7.26188 s, 18.5 MB/s
29 134217728 bytes (134 MB, 128 MiB) copied, 7.28182 s, 18.4 MB/s
30 134217728 bytes (134 MB, 128 MiB) copied, 7.29884 s, 18.4 MB/s
31 134217728 bytes (134 MB, 128 MiB) copied, 7.27037 s, 18.5 MB/s
32 134217728 bytes (134 MB, 128 MiB) copied, 7.29419 s, 18.4 MB/s
33 134217728 bytes (134 MB, 128 MiB) copied, 7.30266 s, 18.4 MB/s
34 134217728 bytes (134 MB, 128 MiB) copied, 7.27234 s, 18.5 MB/s
35 134217728 bytes (134 MB, 128 MiB) copied, 7.31482 s, 18.3 MB/s
36 134217728 bytes (134 MB, 128 MiB) copied, 7.37628 s, 18.2 MB/s
37 134217728 bytes (134 MB, 128 MiB) copied, 7.30971 s, 18.4 MB/s
38 134217728 bytes (134 MB, 128 MiB) copied, 7.32187 s, 18.3 MB/s
39 134217728 bytes (134 MB, 128 MiB) copied, 7.31672 s, 18.3 MB/s
40 134217728 bytes (134 MB, 128 MiB) copied, 7.32889 s, 18.3 MB/s
41 134217728 bytes (134 MB, 128 MiB) copied, 7.37084 s, 18.2 MB/s
42 134217728 bytes (134 MB, 128 MiB) copied, 7.42086 s, 18.1 MB/s
43 134217728 bytes (134 MB, 128 MiB) copied, 7.36112 s, 18.2 MB/s
44 134217728 bytes (134 MB, 128 MiB) copied, 7.40388 s, 18.1 MB/s
45 134217728 bytes (134 MB, 128 MiB) copied, 7.43771 s, 18.0 MB/s
46 134217728 bytes (134 MB, 128 MiB) copied, 7.40691 s, 18.1 MB/s
47 134217728 bytes (134 MB, 128 MiB) copied, 7.39875 s, 18.1 MB/s
