1 134217728 bytes (134 MB, 128 MiB) copied, 13.5507 s, 9.9 MB/s
2 134217728 bytes (134 MB, 128 MiB) copied, 12.7255 s, 10.5 MB/s
3 134217728 bytes (134 MB, 128 MiB) copied, 12.5819 s, 10.7 MB/s
4 134217728 bytes (134 MB, 128 MiB) copied, 12.4346 s, 10.8 MB/s
5 134217728 bytes (134 MB, 128 MiB) copied, 11.9599 s, 11.2 MB/s
6 134217728 bytes (134 MB, 128 MiB) copied, 11.8322 s, 11.3 MB/s
7 134217728 bytes (134 MB, 128 MiB) copied, 11.7663 s, 11.4 MB/s
8 134217728 bytes (134 MB, 128 MiB) copied, 11.8608 s, 11.3 MB/s
9 134217728 bytes (134 MB, 128 MiB) copied, 12.1262 s, 11.1 MB/s
10 134217728 bytes (134 MB, 128 MiB) copied, 11.7924 s, 11.4 MB/s
11 134217728 bytes (134 MB, 128 MiB) copied, 12.4764 s, 10.8 MB/s
12 134217728 bytes (134 MB, 128 MiB) copied, 12.1558 s, 11.0 MB/s
13 134217728 bytes (134 MB, 128 MiB) copied, 11.8648 s, 11.3 MB/s
14 134217728 bytes (134 MB, 128 MiB) copied, 11.7925 s, 11.4 MB/s
15 134217728 bytes (134 MB, 128 MiB) copied, 11.7561 s, 11.4 MB/s
16 134217728 bytes (134 MB, 128 MiB) copied, 12.1871 s, 11.0 MB/s
17 134217728 bytes (134 MB, 128 MiB) copied, 11.8401 s, 11.3 MB/s
18 134217728 bytes (134 MB, 128 MiB) copied, 11.7695 s, 11.4 MB/s
19 134217728 bytes (134 MB, 128 MiB) copied, 11.88 s, 11.3 MB/s
20 134217728 bytes (134 MB, 128 MiB) copied, 12.116 s, 11.1 MB/s
21 134217728 bytes (134 MB, 128 MiB) copied, 12.474 s, 10.8 MB/s
22 134217728 bytes (134 MB, 128 MiB) copied, 12.6722 s, 10.6 MB/s
23 134217728 bytes (134 MB, 128 MiB) copied, 12.2409 s, 11.0 MB/s
24 134217728 bytes (134 MB, 128 MiB) copied, 11.9193 s, 11.3 MB/s
25 134217728 bytes (134 MB, 128 MiB) copied, 11.7486 s, 11.4 MB/s
26 134217728 bytes (134 MB, 128 MiB) copied, 11.7515 s, 11.4 MB/s
27 134217728 bytes (134 MB, 128 MiB) copied, 11.9042 s, 11.3 MB/s
28 134217728 bytes (134 MB, 128 MiB) copied, 12.2104 s, 11.0 MB/s
29 134217728 bytes (134 MB, 128 MiB) copied, 12.6385 s, 10.6 MB/s
30 134217728 bytes (134 MB, 128 MiB) copied, 12.6447 s, 10.6 MB/s
31 134217728 bytes (134 MB, 128 MiB) copied, 12.1035 s, 11.1 MB/s
32 134217728 bytes (134 MB, 128 MiB) copied, 11.8476 s, 11.3 MB/s
33 134217728 bytes (134 MB, 128 MiB) copied, 11.8037 s, 11.4 MB/s
34 134217728 bytes (134 MB, 128 MiB) copied, 11.8007 s, 11.4 MB/s
35 134217728 bytes (134 MB, 128 MiB) copied, 12.0274 s, 11.2 MB/s
36 134217728 bytes (134 MB, 128 MiB) copied, 12.4525 s, 10.8 MB/s
37 134217728 bytes (134 MB, 128 MiB) copied, 12.7302 s, 10.5 MB/s
38 134217728 bytes (134 MB, 128 MiB) copied, 12.2823 s, 10.9 MB/s
39 134217728 bytes (134 MB, 128 MiB) copied, 12.0277 s, 11.2 MB/s
40 134217728 bytes (134 MB, 128 MiB) copied, 11.7798 s, 11.4 MB/s
41 134217728 bytes (134 MB, 128 MiB) copied, 11.7646 s, 11.4 MB/s
42 134217728 bytes (134 MB, 128 MiB) copied, 11.925 s, 11.3 MB/s
43 134217728 bytes (134 MB, 128 MiB) copied, 12.164 s, 11.0 MB/s
44 134217728 bytes (134 MB, 128 MiB) copied, 12.6549 s, 10.6 MB/s
45 134217728 bytes (134 MB, 128 MiB) copied, 11.7958 s, 11.4 MB/s
46 134217728 bytes (134 MB, 128 MiB) copied, 11.9523 s, 11.2 MB/s
47 134217728 bytes (134 MB, 128 MiB) copied, 12.127 s, 11.1 MB/s
48 134217728 bytes (134 MB, 128 MiB) copied, 12.7034 s, 10.6 MB/s
49 134217728 bytes (134 MB, 128 MiB) copied, 12.3701 s, 10.9 MB/s
50 134217728 bytes (134 MB, 128 MiB) copied, 11.9237 s, 11.3 MB/s
51 134217728 bytes (134 MB, 128 MiB) copied, 11.8145 s, 11.4 MB/s
52 134217728 bytes (134 MB, 128 MiB) copied, 11.7512 s, 11.4 MB/s
53 134217728 bytes (134 MB, 128 MiB) copied, 11.866 s, 11.3 MB/s
54 134217728 bytes (134 MB, 128 MiB) copied, 12.1098 s, 11.1 MB/s
55 134217728 bytes (134 MB, 128 MiB) copied, 12.5946 s, 10.7 MB/s
56 134217728 bytes (134 MB, 128 MiB) copied, 12.6062 s, 10.6 MB/s
57 134217728 bytes (134 MB, 128 MiB) copied, 12.1893 s, 11.0 MB/s
58 134217728 bytes (134 MB, 128 MiB) copied, 11.8889 s, 11.3 MB/s
59 134217728 bytes (134 MB, 128 MiB) copied, 12.9076 s, 10.4 MB/s
60 134217728 bytes (134 MB, 128 MiB) copied, 12.5008 s, 10.7 MB/s
61 134217728 bytes (134 MB, 128 MiB) copied, 12.1649 s, 11.0 MB/s
62 134217728 bytes (134 MB, 128 MiB) copied, 11.8389 s, 11.3 MB/s
63 134217728 bytes (134 MB, 128 MiB) copied, 11.7683 s, 11.4 MB/s
64 134217728 bytes (134 MB, 128 MiB) copied, 11.8143 s, 11.4 MB/s
