1 134217728 bytes (134 MB, 128 MiB) copied, 12.0788 s, 11.1 MB/s
2 134217728 bytes (134 MB, 128 MiB) copied, 6.09223 s, 22.0 MB/s
3 134217728 bytes (134 MB, 128 MiB) copied, 3.50449 s, 38.3 MB/s
4 134217728 bytes (134 MB, 128 MiB) copied, 3.52934 s, 38.0 MB/s
5 134217728 bytes (134 MB, 128 MiB) copied, 3.49619 s, 38.4 MB/s
6 134217728 bytes (134 MB, 128 MiB) copied, 3.52774 s, 38.0 MB/s
7 134217728 bytes (134 MB, 128 MiB) copied, 3.49633 s, 38.4 MB/s
8 134217728 bytes (134 MB, 128 MiB) copied, 3.50956 s, 38.2 MB/s
9 134217728 bytes (134 MB, 128 MiB) copied, 3.56851 s, 37.6 MB/s
10 134217728 bytes (134 MB, 128 MiB) copied, 3.50089 s, 38.3 MB/s
11 134217728 bytes (134 MB, 128 MiB) copied, 3.49749 s, 38.4 MB/s
12 134217728 bytes (134 MB, 128 MiB) copied, 3.48751 s, 38.5 MB/s
13 134217728 bytes (134 MB, 128 MiB) copied, 3.48668 s, 38.5 MB/s
14 134217728 bytes (134 MB, 128 MiB) copied, 3.49268 s, 38.4 MB/s
15 134217728 bytes (134 MB, 128 MiB) copied, 3.50006 s, 38.3 MB/s
16 134217728 bytes (134 MB, 128 MiB) copied, 3.50261 s, 38.3 MB/s
17 134217728 bytes (134 MB, 128 MiB) copied, 3.50418 s, 38.3 MB/s
18 134217728 bytes (134 MB, 128 MiB) copied, 3.54656 s, 37.8 MB/s
19 134217728 bytes (134 MB, 128 MiB) copied, 3.55144 s, 37.8 MB/s
20 134217728 bytes (134 MB, 128 MiB) copied, 3.56291 s, 37.7 MB/s
21 134217728 bytes (134 MB, 128 MiB) copied, 3.56627 s, 37.6 MB/s
22 134217728 bytes (134 MB, 128 MiB) copied, 3.53183 s, 38.0 MB/s
23 134217728 bytes (134 MB, 128 MiB) copied, 3.55988 s, 37.7 MB/s
24 134217728 bytes (134 MB, 128 MiB) copied, 3.50329 s, 38.3 MB/s
25 134217728 bytes (134 MB, 128 MiB) copied, 3.54078 s, 37.9 MB/s
26 134217728 bytes (134 MB, 128 MiB) copied, 3.50895 s, 38.3 MB/s
27 134217728 bytes (134 MB, 128 MiB) copied, 3.51203 s, 38.2 MB/s
28 134217728 bytes (134 MB, 128 MiB) copied, 3.52869 s, 38.0 MB/s
29 134217728 bytes (134 MB, 128 MiB) copied, 3.48834 s, 38.5 MB/s
30 134217728 bytes (134 MB, 128 MiB) copied, 3.51566 s, 38.2 MB/s
31 134217728 bytes (134 MB, 128 MiB) copied, 3.53941 s, 37.9 MB/s
32 134217728 bytes (134 MB, 128 MiB) copied, 3.51868 s, 38.1 MB/s
33 134217728 bytes (134 MB, 128 MiB) copied, 3.48828 s, 38.5 MB/s
34 134217728 bytes (134 MB, 128 MiB) copied, 3.515 s, 38.2 MB/s
35 134217728 bytes (134 MB, 128 MiB) copied, 3.52126 s, 38.1 MB/s
36 134217728 bytes (134 MB, 128 MiB) copied, 3.5193 s, 38.1 MB/s
37 134217728 bytes (134 MB, 128 MiB) copied, 3.50737 s, 38.3 MB/s
38 134217728 bytes (134 MB, 128 MiB) copied, 3.50736 s, 38.3 MB/s
39 134217728 bytes (134 MB, 128 MiB) copied, 3.51068 s, 38.2 MB/s
40 134217728 bytes (134 MB, 128 MiB) copied, 3.51721 s, 38.2 MB/s
41 134217728 bytes (134 MB, 128 MiB) copied, 3.49618 s, 38.4 MB/s
42 134217728 bytes (134 MB, 128 MiB) copied, 3.50055 s, 38.3 MB/s
43 134217728 bytes (134 MB, 128 MiB) copied, 3.50081 s, 38.3 MB/s
44 134217728 bytes (134 MB, 128 MiB) copied, 3.50969 s, 38.2 MB/s
45 134217728 bytes (134 MB, 128 MiB) copied, 3.50932 s, 38.2 MB/s
46 134217728 bytes (134 MB, 128 MiB) copied, 3.52188 s, 38.1 MB/s
47 134217728 bytes (134 MB, 128 MiB) copied, 3.52178 s, 38.1 MB/s
48 134217728 bytes (134 MB, 128 MiB) copied, 3.55171 s, 37.8 MB/s
49 134217728 bytes (134 MB, 128 MiB) copied, 3.53934 s, 37.9 MB/s
50 134217728 bytes (134 MB, 128 MiB) copied, 3.49517 s, 38.4 MB/s
51 134217728 bytes (134 MB, 128 MiB) copied, 3.56567 s, 37.6 MB/s
52 134217728 bytes (134 MB, 128 MiB) copied, 3.55757 s, 37.7 MB/s
53 134217728 bytes (134 MB, 128 MiB) copied, 3.49834 s, 38.4 MB/s
54 134217728 bytes (134 MB, 128 MiB) copied, 3.50084 s, 38.3 MB/s
55 134217728 bytes (134 MB, 128 MiB) copied, 3.49621 s, 38.4 MB/s
56 134217728 bytes (134 MB, 128 MiB) copied, 3.50753 s, 38.3 MB/s
57 134217728 bytes (134 MB, 128 MiB) copied, 3.55572 s, 37.7 MB/s
58 134217728 bytes (134 MB, 128 MiB) copied, 3.57576 s, 37.5 MB/s
59 134217728 bytes (134 MB, 128 MiB) copied, 3.55338 s, 37.8 MB/s
60 134217728 bytes (134 MB, 128 MiB) copied, 3.53418 s, 38.0 MB/s
61 134217728 bytes (134 MB, 128 MiB) copied, 3.49393 s, 38.4 MB/s
62 134217728 bytes (134 MB, 128 MiB) copied, 3.50351 s, 38.3 MB/s
63 134217728 bytes (134 MB, 128 MiB) copied, 3.48299 s, 38.5 MB/s
