1 134217728 bytes (134 MB, 128 MiB) copied, 3.73589 s, 35.9 MB/s
2 134217728 bytes (134 MB, 128 MiB) copied, 3.91442 s, 34.3 MB/s
3 134217728 bytes (134 MB, 128 MiB) copied, 3.8986 s, 34.4 MB/s
4 134217728 bytes (134 MB, 128 MiB) copied, 3.82448 s, 35.1 MB/s
5 134217728 bytes (134 MB, 128 MiB) copied, 3.81177 s, 35.2 MB/s
6 134217728 bytes (134 MB, 128 MiB) copied, 3.7767 s, 35.5 MB/s
7 134217728 bytes (134 MB, 128 MiB) copied, 3.76894 s, 35.6 MB/s
8 134217728 bytes (134 MB, 128 MiB) copied, 3.82274 s, 35.1 MB/s
9 134217728 bytes (134 MB, 128 MiB) copied, 3.71615 s, 36.1 MB/s
10 134217728 bytes (134 MB, 128 MiB) copied, 3.74455 s, 35.8 MB/s
11 134217728 bytes (134 MB, 128 MiB) copied, 3.76147 s, 35.7 MB/s
12 134217728 bytes (134 MB, 128 MiB) copied, 3.75302 s, 35.8 MB/s
13 134217728 bytes (134 MB, 128 MiB) copied, 3.76113 s, 35.7 MB/s
14 134217728 bytes (134 MB, 128 MiB) copied, 3.80997 s, 35.2 MB/s
15 134217728 bytes (134 MB, 128 MiB) copied, 3.75048 s, 35.8 MB/s
16 134217728 bytes (134 MB, 128 MiB) copied, 3.77034 s, 35.6 MB/s
17 134217728 bytes (134 MB, 128 MiB) copied, 3.83345 s, 35.0 MB/s
18 134217728 bytes (134 MB, 128 MiB) copied, 3.81933 s, 35.1 MB/s
19 134217728 bytes (134 MB, 128 MiB) copied, 3.83638 s, 35.0 MB/s
20 134217728 bytes (134 MB, 128 MiB) copied, 3.80202 s, 35.3 MB/s
21 134217728 bytes (134 MB, 128 MiB) copied, 3.80341 s, 35.3 MB/s
22 134217728 bytes (134 MB, 128 MiB) copied, 3.91072 s, 34.3 MB/s
23 134217728 bytes (134 MB, 128 MiB) copied, 3.75732 s, 35.7 MB/s
24 134217728 bytes (134 MB, 128 MiB) copied, 3.81315 s, 35.2 MB/s
25 134217728 bytes (134 MB, 128 MiB) copied, 3.77021 s, 35.6 MB/s
26 134217728 bytes (134 MB, 128 MiB) copied, 3.85031 s, 34.9 MB/s
