1 134217728 bytes (134 MB, 128 MiB) copied, 9.03093 s, 14.9 MB/s
2 134217728 bytes (134 MB, 128 MiB) copied, 9.02283 s, 14.9 MB/s
3 134217728 bytes (134 MB, 128 MiB) copied, 3.62702 s, 37.0 MB/s
4 134217728 bytes (134 MB, 128 MiB) copied, 3.69284 s, 36.3 MB/s
5 134217728 bytes (134 MB, 128 MiB) copied, 3.84283 s, 34.9 MB/s
6 134217728 bytes (134 MB, 128 MiB) copied, 3.86715 s, 34.7 MB/s
7 134217728 bytes (134 MB, 128 MiB) copied, 3.56985 s, 37.6 MB/s
8 134217728 bytes (134 MB, 128 MiB) copied, 3.68355 s, 36.4 MB/s
9 134217728 bytes (134 MB, 128 MiB) copied, 3.84274 s, 34.9 MB/s
10 134217728 bytes (134 MB, 128 MiB) copied, 3.8686 s, 34.7 MB/s
11 134217728 bytes (134 MB, 128 MiB) copied, 3.87648 s, 34.6 MB/s
12 134217728 bytes (134 MB, 128 MiB) copied, 3.80882 s, 35.2 MB/s
13 134217728 bytes (134 MB, 128 MiB) copied, 3.80407 s, 35.3 MB/s
14 134217728 bytes (134 MB, 128 MiB) copied, 3.76657 s, 35.6 MB/s
15 134217728 bytes (134 MB, 128 MiB) copied, 3.69072 s, 36.4 MB/s
16 134217728 bytes (134 MB, 128 MiB) copied, 3.54814 s, 37.8 MB/s
17 134217728 bytes (134 MB, 128 MiB) copied, 3.527 s, 38.1 MB/s
18 134217728 bytes (134 MB, 128 MiB) copied, 3.53105 s, 38.0 MB/s
19 134217728 bytes (134 MB, 128 MiB) copied, 3.5284 s, 38.0 MB/s
20 134217728 bytes (134 MB, 128 MiB) copied, 3.53736 s, 37.9 MB/s
21 134217728 bytes (134 MB, 128 MiB) copied, 3.52421 s, 38.1 MB/s
22 134217728 bytes (134 MB, 128 MiB) copied, 3.54608 s, 37.8 MB/s
23 134217728 bytes (134 MB, 128 MiB) copied, 3.55899 s, 37.7 MB/s
24 134217728 bytes (134 MB, 128 MiB) copied, 3.60512 s, 37.2 MB/s
25 134217728 bytes (134 MB, 128 MiB) copied, 3.6265 s, 37.0 MB/s
26 134217728 bytes (134 MB, 128 MiB) copied, 3.76767 s, 35.6 MB/s
27 134217728 bytes (134 MB, 128 MiB) copied, 3.7869 s, 35.4 MB/s
28 134217728 bytes (134 MB, 128 MiB) copied, 3.78275 s, 35.5 MB/s
29 134217728 bytes (134 MB, 128 MiB) copied, 3.7855 s, 35.5 MB/s
30 134217728 bytes (134 MB, 128 MiB) copied, 3.69273 s, 36.3 MB/s
31 134217728 bytes (134 MB, 128 MiB) copied, 3.52365 s, 38.1 MB/s
32 134217728 bytes (134 MB, 128 MiB) copied, 3.56212 s, 37.7 MB/s
33 134217728 bytes (134 MB, 128 MiB) copied, 3.60007 s, 37.3 MB/s
34 134217728 bytes (134 MB, 128 MiB) copied, 3.60715 s, 37.2 MB/s
35 134217728 bytes (134 MB, 128 MiB) copied, 3.61705 s, 37.1 MB/s
36 134217728 bytes (134 MB, 128 MiB) copied, 3.60422 s, 37.2 MB/s
37 134217728 bytes (134 MB, 128 MiB) copied, 3.60009 s, 37.3 MB/s
