1 134217728 bytes (134 MB, 128 MiB) copied, 4.66893 s, 28.7 MB/s
2 134217728 bytes (134 MB, 128 MiB) copied, 4.99291 s, 26.9 MB/s
3 134217728 bytes (134 MB, 128 MiB) copied, 4.76369 s, 28.2 MB/s
4 134217728 bytes (134 MB, 128 MiB) copied, 5.11775 s, 26.2 MB/s
5 134217728 bytes (134 MB, 128 MiB) copied, 4.91904 s, 27.3 MB/s
6 134217728 bytes (134 MB, 128 MiB) copied, 4.86553 s, 27.6 MB/s
7 134217728 bytes (134 MB, 128 MiB) copied, 4.96704 s, 27.0 MB/s
8 134217728 bytes (134 MB, 128 MiB) copied, 5.15331 s, 26.0 MB/s
9 134217728 bytes (134 MB, 128 MiB) copied, 6.86958 s, 19.5 MB/s
10 134217728 bytes (134 MB, 128 MiB) copied, 8.84175 s, 15.2 MB/s
11 134217728 bytes (134 MB, 128 MiB) copied, 9.63847 s, 13.9 MB/s
12 134217728 bytes (134 MB, 128 MiB) copied, 8.81909 s, 15.2 MB/s
13 134217728 bytes (134 MB, 128 MiB) copied, 8.88907 s, 15.1 MB/s
14 134217728 bytes (134 MB, 128 MiB) copied, 9.48906 s, 14.1 MB/s
15 134217728 bytes (134 MB, 128 MiB) copied, 8.77622 s, 15.3 MB/s
16 134217728 bytes (134 MB, 128 MiB) copied, 8.72266 s, 15.4 MB/s
17 134217728 bytes (134 MB, 128 MiB) copied, 9.23298 s, 14.5 MB/s
18 134217728 bytes (134 MB, 128 MiB) copied, 9.01866 s, 14.9 MB/s
19 134217728 bytes (134 MB, 128 MiB) copied, 8.74853 s, 15.3 MB/s
20 134217728 bytes (134 MB, 128 MiB) copied, 9.42863 s, 14.2 MB/s
21 134217728 bytes (134 MB, 128 MiB) copied, 8.71831 s, 15.4 MB/s
22 134217728 bytes (134 MB, 128 MiB) copied, 8.98135 s, 14.9 MB/s
23 134217728 bytes (134 MB, 128 MiB) copied, 9.44521 s, 14.2 MB/s
